TEAM_ABBREVIATION,YEAR,WEEK,games_played,back_to_backs,b2b_days
ATL,2023,43,3,0,
ATL,2023,44,3,1,Sun/Mon
ATL,2023,45,3,0,
ATL,2023,46,3,1,Tue/Wed
ATL,2023,47,4,2,Tue/Wed/Sat/Sun
ATL,2023,48,3,0,
ATL,2023,49,2,0,
ATL,2023,50,4,1,Fri/Sat
ATL,2023,51,4,1,Fri/Sat
ATL,2023,52,3,0,
ATL,2024,1,3,0,
ATL,2024,2,3,1,Fri/Sat
ATL,2024,3,4,1,Fri/Sat
ATL,2024,4,4,0,
ATL,2024,5,3,1,Fri/Sat
ATL,2024,6,4,1,Fri/Sat
ATL,2024,7,2,0,
ATL,2024,8,2,0,
ATL,2024,9,3,0,
ATL,2024,10,4,1,Tue/Wed
ATL,2024,11,3,0,
ATL,2024,12,3,1,Sun/Mon
ATL,2024,13,4,1,Wed/Thu
ATL,2024,14,4,1,Wed/Thu
ATL,2024,15,4,1,Tue/Wed
BKN,2023,43,2,0,
BKN,2023,44,4,1,Fri/Sat
BKN,2023,45,4,0,
BKN,2023,46,3,0,
BKN,2023,47,3,1,Sat/Sun
BKN,2023,48,3,0,
BKN,2023,49,2,0,
BKN,2023,50,4,1,Wed/Thu
BKN,2023,51,4,1,Fri/Sat
BKN,2023,52,4,1,Tue/Wed
BKN,2024,1,4,1,Tue/Wed
BKN,2024,2,1,0,
BKN,2024,3,4,0,
BKN,2024,4,3,0,
BKN,2024,5,3,0,
BKN,2024,6,4,1,Mon/Tue
BKN,2024,7,2,1,Tue/Wed
BKN,2024,8,2,0,
BKN,2024,9,4,1,Mon/Tue
BKN,2024,10,5,2,Mon/Tue/Sat/Sun
BKN,2024,11,3,1,Sat/Sun
BKN,2024,12,3,0,
BKN,2024,13,4,0,
BKN,2024,14,4,2,Sun/Mon/Sat/Sun
BKN,2024,15,3,0,
BOS,2023,43,2,0,
BOS,2023,44,3,0,
BOS,2023,45,4,1,Fri/Sat
BOS,2023,46,4,0,
BOS,2023,47,4,1,Sun/Mon
BOS,2023,48,2,0,
BOS,2023,49,2,0,
BOS,2023,50,4,1,Thu/Fri
BOS,2023,51,3,1,Tue/Wed
BOS,2023,52,4,1,Thu/Fri
BOS,2024,1,3,1,Fri/Sat
BOS,2024,2,4,1,Wed/Thu
BOS,2024,3,4,0,
BOS,2024,4,3,1,Sun/Mon
BOS,2024,5,4,1,Mon/Tue
BOS,2024,6,3,0,
BOS,2024,7,2,1,Tue/Wed
BOS,2024,8,2,0,
BOS,2024,9,3,0,
BOS,2024,10,3,0,
BOS,2024,11,4,1,Mon/Tue
BOS,2024,12,4,2,Sun/Mon/Fri/Sat
BOS,2024,13,3,0,
BOS,2024,14,4,0,
BOS,2024,15,4,1,Thu/Fri
CHA,2023,43,2,0,
CHA,2023,44,4,1,Sat/Sun
CHA,2023,45,3,0,
CHA,2023,46,3,1,Fri/Sat
CHA,2023,47,3,0,
CHA,2023,48,3,0,
CHA,2023,49,2,0,
CHA,2023,50,4,1,Fri/Sat
CHA,2023,51,3,0,
CHA,2023,52,3,1,Thu/Fri
CHA,2024,1,3,1,Mon/Tue
CHA,2024,2,4,0,
CHA,2024,3,3,1,Fri/Sat
CHA,2024,4,4,1,Fri/Sat
CHA,2024,5,4,0,
CHA,2024,6,4,2,Sun/Mon/Fri/Sat
CHA,2024,7,2,0,
CHA,2024,8,3,1,Thu/Fri
CHA,2024,9,4,1,Thu/Fri
CHA,2024,10,3,1,Fri/Sat
CHA,2024,11,4,1,Fri/Sat
CHA,2024,12,2,0,
CHA,2024,13,4,0,
CHA,2024,14,4,1,Sun/Mon
CHA,2024,15,4,1,Tue/Wed
CHI,2023,43,3,1,Fri/Sat
CHI,2023,44,4,1,Fri/Sat
CHI,2023,45,3,0,
CHI,2023,46,4,2,Sun/Mon/Fri/Sat
CHI,2023,47,4,0,
CHI,2023,48,3,0,
CHI,2023,49,2,0,
CHI,2023,50,4,1,Mon/Tue
CHI,2023,51,4,1,Wed/Thu
CHI,2023,52,3,0,
CHI,2024,1,3,1,Tue/Wed
CHI,2024,2,4,1,Fri/Sat
CHI,2024,3,3,0,
CHI,2024,4,3,0,
CHI,2024,5,3,1,Tue/Wed
CHI,2024,6,3,0,
CHI,2024,7,2,0,
CHI,2024,8,2,0,
CHI,2024,9,3,1,Tue/Wed
CHI,2024,10,4,1,Wed/Thu
CHI,2024,11,4,1,Wed/Thu
CHI,2024,12,3,0,
CHI,2024,13,4,0,
CHI,2024,14,3,1,Sun/Mon
CHI,2024,15,4,1,Thu/Fri
CLE,2023,43,3,1,Fri/Sat
CLE,2023,44,4,1,Tue/Wed
CLE,2023,45,2,0,
CLE,2023,46,4,0,
CLE,2023,47,4,2,Tue/Wed/Sat/Sun
CLE,2023,48,3,0,
CLE,2023,49,2,0,
CLE,2023,50,4,1,Mon/Tue
CLE,2023,51,4,1,Wed/Thu
CLE,2023,52,2,0,
CLE,2024,1,4,0,
CLE,2024,2,1,0,
CLE,2024,3,3,0,
CLE,2024,4,3,0,
CLE,2024,5,4,1,Wed/Thu
CLE,2024,6,4,1,Wed/Thu
CLE,2024,7,2,0,
CLE,2024,8,3,1,Thu/Fri
CLE,2024,9,4,1,Tue/Wed
CLE,2024,10,4,1,Tue/Wed
CLE,2024,11,3,1,Sun/Mon
CLE,2024,12,4,0,
CLE,2024,13,4,1,Sun/Mon
CLE,2024,14,4,2,Tue/Wed/Sat/Sun
CLE,2024,15,3,0,
DAL,2023,43,2,0,
DAL,2023,44,4,0,
DAL,2023,45,4,1,Sun/Mon
DAL,2023,46,4,2,Tue/Wed/Sat/Sun
DAL,2023,47,2,0,
DAL,2023,48,3,1,Fri/Sat
DAL,2023,49,2,0,
DAL,2023,50,4,1,Mon/Tue
DAL,2023,51,4,1,Fri/Sat
DAL,2023,52,4,1,Wed/Thu
DAL,2024,1,4,0,
DAL,2024,2,3,0,
DAL,2024,3,2,0,
DAL,2024,4,4,1,Fri/Sat
DAL,2024,5,3,0,
DAL,2024,6,4,1,Mon/Tue
DAL,2024,7,2,0,
DAL,2024,8,2,0,
DAL,2024,9,4,1,Tue/Wed
DAL,2024,10,3,0,
DAL,2024,11,4,1,Wed/Thu
DAL,2024,12,2,0,
DAL,2024,13,4,1,Mon/Tue
DAL,2024,14,4,1,Thu/Fri
DAL,2024,15,4,1,Tue/Wed
DEN,2023,43,3,0,
DEN,2023,44,4,2,Sun/Mon/Fri/Sat
DEN,2023,45,3,0,
DEN,2023,46,3,0,
DEN,2023,47,4,1,Sun/Mon
DEN,2023,48,4,2,Sun/Mon/Fri/Sat
DEN,2023,49,2,0,
DEN,2023,50,4,1,Mon/Tue
DEN,2023,51,4,1,Fri/Sat
DEN,2023,52,3,1,Thu/Fri
DEN,2024,1,4,1,Thu/Fri
DEN,2024,2,3,0,
DEN,2024,3,3,0,
DEN,2024,4,3,0,
DEN,2024,5,4,0,
DEN,2024,6,2,1,Thu/Fri
DEN,2024,7,2,0,
DEN,2024,8,3,1,Thu/Fri
DEN,2024,9,3,1,Wed/Thu
DEN,2024,10,3,0,
DEN,2024,11,4,0,
DEN,2024,12,3,0,
DEN,2024,13,4,0,
DEN,2024,14,3,0,
DEN,2024,15,4,1,Tue/Wed
DET,2023,43,3,1,Fri/Sat
DET,2023,44,4,1,Wed/Thu
DET,2023,45,4,1,Sun/Mon
DET,2023,46,3,0,
DET,2023,47,2,1,Sun/Mon
DET,2023,48,4,1,Wed/Thu
DET,2023,49,2,0,
DET,2023,50,4,1,Fri/Sat
DET,2023,51,3,0,
DET,2023,52,3,0,
DET,2024,1,4,0,
DET,2024,2,3,1,Tue/Wed
DET,2024,3,3,0,
DET,2024,4,4,1,Sat/Sun
DET,2024,5,3,0,
DET,2024,6,3,1,Wed/Thu
DET,2024,7,2,1,Tue/Wed
DET,2024,8,2,0,
DET,2024,9,4,1,Mon/Tue
DET,2024,10,3,0,
DET,2024,11,4,0,
DET,2024,12,4,1,Sun/Mon
DET,2024,13,3,1,Sun/Mon
DET,2024,14,4,1,Fri/Sat
DET,2024,15,4,1,Thu/Fri
GSW,2023,43,3,0,
GSW,2023,44,4,1,Sun/Mon
GSW,2023,45,4,2,Sun/Mon/Sat/Sun
GSW,2023,46,3,0,
GSW,2023,47,3,0,
GSW,2023,48,3,0,
GSW,2023,49,2,0,
GSW,2023,50,4,1,Sat/Sun
GSW,2023,51,3,1,Fri/Sat
GSW,2023,52,3,0,
GSW,2024,1,4,1,Thu/Fri
GSW,2024,2,3,1,Fri/Sat
GSW,2024,3,1,0,
GSW,2024,4,3,1,Wed/Thu
GSW,2024,5,3,1,Fri/Sat
GSW,2024,6,4,1,Wed/Thu
GSW,2024,7,3,1,Wed/Thu
GSW,2024,8,3,1,Thu/Fri
GSW,2024,9,4,1,Thu/Fri
GSW,2024,10,3,1,Wed/Thu
GSW,2024,11,3,0,
GSW,2024,12,4,0,
GSW,2024,13,4,1,Tue/Wed
GSW,2024,14,4,1,Thu/Fri
GSW,2024,15,4,1,Thu/Fri
HOU,2023,43,3,0,
HOU,2023,44,2,0,
HOU,2023,45,4,0,
HOU,2023,46,2,0,
HOU,2023,47,3,1,Sun/Mon
HOU,2023,48,3,1,Tue/Wed
HOU,2023,49,2,0,
HOU,2023,50,4,0,
HOU,2023,51,4,2,Sun/Mon/Fri/Sat
HOU,2023,52,3,1,Tue/Wed
HOU,2024,1,4,1,Fri/Sat
HOU,2024,2,4,1,Fri/Sat
HOU,2024,3,4,1,Sat/Sun
HOU,2024,4,3,1,Fri/Sat
HOU,2024,5,4,0,
HOU,2024,6,3,1,Fri/Sat
HOU,2024,7,2,0,
HOU,2024,8,3,1,Thu/Fri
HOU,2024,9,3,0,
HOU,2024,10,4,1,Tue/Wed
HOU,2024,11,3,0,
HOU,2024,12,3,0,
HOU,2024,13,4,0,
HOU,2024,14,4,1,Thu/Fri
HOU,2024,15,4,1,Thu/Fri
IND,2023,43,2,0,
IND,2023,44,4,1,Fri/Sat
IND,2023,45,4,1,Wed/Thu
IND,2023,46,2,0,
IND,2023,47,3,1,Tue/Wed
IND,2023,48,3,0,
IND,2023,49,2,0,
IND,2023,50,4,1,Fri/Sat
IND,2023,51,4,1,Wed/Thu
IND,2023,52,3,0,
IND,2024,1,4,1,Fri/Sat
IND,2024,2,4,0,
IND,2024,3,4,2,Sun/Mon/Thu/Fri
IND,2024,4,4,1,Thu/Fri
IND,2024,5,4,1,Thu/Fri
IND,2024,6,3,0,
IND,2024,7,2,0,
IND,2024,8,2,0,
IND,2024,9,4,1,Sun/Mon
IND,2024,10,3,0,
IND,2024,11,3,1,Tue/Wed
IND,2024,12,4,0,
IND,2024,13,3,1,Sun/Mon
IND,2024,14,4,0,
IND,2024,15,3,0,
LAC,2023,43,3,0,
LAC,2023,44,2,1,Tue/Wed
LAC,2023,45,4,0,
LAC,2023,46,2,0,
LAC,2023,47,4,1,Fri/Sat
LAC,2023,48,4,1,Wed/Thu
LAC,2023,49,2,0,
LAC,2023,50,4,1,Mon/Tue
LAC,2023,51,4,1,Wed/Thu
LAC,2023,52,2,0,
LAC,2024,1,4,0,
LAC,2024,2,4,1,Sun/Mon
LAC,2024,3,2,0,
LAC,2024,4,3,1,Fri/Sat
LAC,2024,5,4,0,
LAC,2024,6,3,1,Sun/Mon
