GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP
0022301189,2024-04-14,1610612748,MIA,Miami Heat,MIA vs. TOR
0022301195,2024-04-14,1610612747,LAL,Los Angeles Lakers,LAL @ NOP
0022301190,2024-04-14,1610612752,NYK,New York Knicks,NYK vs. CHI
0022301191,2024-04-14,1610612753,ORL,Orlando Magic,ORL vs. MIL
0022301198,2024-04-14,1610612762,UTA,Utah Jazz,UTA @ GSW
0022301186,2024-04-14,1610612764,WAS,Washington Wizards,WAS @ BOS
0022301193,2024-04-14,1610612763,MEM,Memphis Grizzlies,MEM vs. DEN
0022301186,2024-04-14,1610612738,BOS,Boston Celtics,BOS vs. WAS
0022301194,2024-04-14,1610612750,MIN,Minnesota Timberwolves,MIN vs. PHX
0022301188,2024-04-14,1610612737,ATL,Atlanta Hawks,ATL @ IND
0022301188,2024-04-14,1610612754,IND,Indiana Pacers,IND vs. ATL
0022301192,2024-04-14,1610612751,BKN,Brooklyn Nets,BKN @ PHI
0022301194,2024-04-14,1610612756,PHX,Phoenix Suns,PHX @ MIN
0022301199,2024-04-14,1610612745,HOU,Houston Rockets,HOU @ LAC
0022301191,2024-04-14,1610612749,MIL,Milwaukee Bucks,MIL @ ORL
0022301187,2024-04-14,1610612739,CLE,Cleveland Cavaliers,CLE vs. CHA
0022301197,2024-04-14,1610612765,DET,Detroit Pistons,DET @ SAS
0022301196,2024-04-14,1610612760,OKC,Oklahoma City Thunder,OKC vs. DAL
0022301198,2024-04-14,1610612744,GSW,Golden State Warriors,GSW vs. UTA
0022301192,2024-04-14,1610612755,PHI,Philadelphia 76ers,PHI vs. BKN
0022301187,2024-04-14,1610612766,CHA,Charlotte Hornets,CHA @ CLE
0022301195,2024-04-14,1610612740,NOP,New Orleans Pelicans,NOP vs. LAL
0022301196,2024-04-14,1610612742,DAL,Dallas Mavericks,DAL @ OKC
0022301190,2024-04-14,1610612741,CHI,Chicago Bulls,CHI @ NYK
0022301200,2024-04-14,1610612758,SAC,Sacramento Kings,SAC vs. POR
0022301199,2024-04-14,1610612746,LAC,LA Clippers,LAC vs. HOU
0022301197,2024-04-14,1610612759,SAS,San Antonio Spurs,SAS vs. DET
0022301200,2024-04-14,1610612757,POR,Portland Trail Blazers,POR @ SAC
0022301189,2024-04-14,1610612761,TOR,Toronto Raptors,TOR @ MIA
0022301193,2024-04-14,1610612743,DEN,Denver Nuggets,DEN @ MEM
0022301179,2024-04-12,1610612760,OKC,Oklahoma City Thunder,OKC vs. MIL
0022301177,2024-04-12,1610612747,LAL,Los Angeles Lakers,LAL @ MEM
0022301175,2024-04-12,1610612752,NYK,New York Knicks,NYK vs. BKN
0022301174,2024-04-12,1610612739,CLE,Cleveland Cavaliers,CLE vs. IND
